id,nombre,marca,precio,caracteristicas
1,Disco Duro Interno,Western Digital,85.99,"1TB, 7200RPM"
2,Disco Duro Externo,Toshiba,129.99,"2TB, USB 3.0, Resistente a golpes"
3,Ssd Interno,Samsung,107.99,"500GB, NVMe PCIe Gen 4.0, Velocidad de lectura de hasta 7000MB/s"
4,Memoria Ram,Corsair,96.99,"16GB, DDR4, Velocidad de 3200MHz"
5,Tarjeta De Video,Msi,324.99,"NVIDIA GeForce RTX 3060, 12GB GDDR6, DirectX 12 Ultimate"
6,Monitor Led,Dell,215.99,"21.5 pulgadas, Resolución Full HD, Puertos HDMI y VGA"
7,Teclado Mecánico,Razer,139.99,"Teclas retroiluminadas, Diseño ergonómico, Conexión USB"
8,Ratón Inalámbrico,Logitech,42.99,"Conexión inalámbrica 2.4GHz, Diseño ambidiestro, Sensor óptico de alta precisión"
9,Auriculares Con Micrófono,Hyperx,96.99,"Sonido envolvente 7.1, Micrófono desmontable, Diadema ajustable"
10,Impresora Multifuncional,Epson,324.99,"Impresión a doble cara automática, Velocidad de impresión de hasta 20 ppm, Conexión Wi-Fi"
11,Altavoces De Pc,Logitech,53.99,"2.1 canales, Potencia de salida de 40W, Control de graves y agudos"
12,Cámara Web,Microsoft,85.99,"Resolución Full HD, Micrófono incorporado, Conexión USB"
13,Disco Duro Portátil,Seagate,139.99,"4TB, USB 3.0, Resistente a golpes y vibraciones"
14,Procesador Intel Core I7,Intel,432.99,"8 núcleos, Frecuencia de 2.8 GHz, Tecnología Hyper-Threading"
15,Tarjeta De Sonido Externa,Focusrite,161.99,"2 entradas XLR, 2 salidas de línea, Resolución de hasta 24-bit/192kHz"
16,Smartphone Samsung Galaxy S21,Samsung,866.99,"Pantalla AMOLED de 6.2 pulgadas, Procesador Exynos 2100, Cámara trasera de 64 MP"
17,Smartwatch Apple Watch Series 6,Apple,432.99,"Monitorización del ritmo cardíaco, GPS integrado, Resistente al agua"
18,Router Inalámbrico,Tp-link,85.99,"Soporta Wi-Fi 6, Velocidad de hasta 3000 Mbps, Puertos"
19,Tablet Apple Ipad Air,Apple,649.99,"Pantalla Liquid Retina de 10.9 pulgadas, Chip A14 Bionic, Compatible con Apple Pencil y Magic Keyboard"
20,Altavoz Inteligente Amazon Echo Dot,Amazon,53.99,"Asistente de voz Alexa integrado, Conexión Wi-Fi y Bluetooth, Compatible con otros dispositivos inteligentes"
21,Teclado Y Ratón Inalámbricos,Hp,42.99,"Conexión inalámbrica 2.4GHz, Teclado de tamaño completo, Ratón óptico de tres botones"
22,Adaptador Usb-c A Hdmi,Anker,20.99,"Resolución de hasta 4K a 60Hz, Compatible con MacBook"
23,Hub Usb 3.0 De 4 Puertos,Ugreen,13.99,"Velocidad de transferencia de hasta 5Gbps, Compatible con dispositivos USB 2.0 y 1.1, Conexión Plug and Play"
24,Escáner De Documentos,Epson,269.99,"Resolución óptica de 1200 dpi, Velocidad de escaneo de hasta 35 ppm, Alimentador automático de documentos de 50 páginas"
25,Monitor Curvo Samsung,Samsung,302.99,"Resolución Full HD, Tamaño de 27 pulgadas, Frecuencia de actualización de 75Hz"
26,Auriculares Inalámbricos,Apple,172.99,"Conexión inalámbrica Bluetooth, Micrófono y controles integrados, Autonomía de hasta 5 horas"
27,Cargador Portátil Anker Powercore,Anker,64.99,"Capacidad de 10000mAh, 2 puertos USB, Tecnología PowerIQ para carga rápida"
28,Módem De Cable,Arris,96.99,"Velocidad de descarga de hasta 686 Mbps, Compatible con la mayoría de los proveedores de servicios de Internet, Conexión Gigabit Ethernet"
29,Adaptador Wi-fi Usb,Tp-link,20.99,"Velocidad de hasta 150Mbps, Conexión Plug and Play, Compatible con Windows y Mac"
30,Disco Duro Externo Ssd,Sandisk,215.99,"Capacidad de 1TB, Velocidad de transferencia de hasta 1050MB/s, Resistente al agua y al polvo"
31,Tarjeta De Red Ethernet,Intel,42.99,"Velocidad de transferencia de hasta 1Gbps, Conexión PCIe, Compatible con Windows y Linux"
32,Router Vpn,Netgear,194.99,"Velocidad de hasta 300Mbps, Soporta hasta 20 conexiones VPN, Firewall integrado"
33,Altavoz Bluetooth Jbl Flip 5,Jbl,129.99,"Conexión Bluetooth, Autonomía de hasta 12 horas, Resistente al agua y al polvo"
34,Memoria Ram Corsair Vengeance Lpx,Corsair,118.99,"16GB de capacidad, Velocidad de 3200MHz, Diseño de perfil bajo"
35,Cámara De Seguridad Wifi,Tp-link,58.99,"Resolución Full HD, Visión nocturna hasta 30 pies, Notificaciones de detección de movimiento"
